Pot ID,Plant type,S.No,Combined pot id,Block,Plant,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh_Biomass30days(gm),Dry_Biomass30days(gm),Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Day after first dose ,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Dry.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,Days after second dose,pH_65days,EC (uS/cm)_65days,Date,Action Item,Days after second dose,pH_76days,EC (uS/cm)_76days,Cholorphyll_content (Spad)_76days,Date,Action Item,Days after seond dose ,pH_88days,EC_88days(uS/cm),Cholorphyll_content_88days (Spad),Fresh_Biomass_88days ,Dry_Biomass_88days ,Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,pH,EC (uS/cm),Cholorphyll_content (Spad),Fresh_Biomass_shoot_118days,Dry_Biomass_shoot_118days,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,Notes,COMMENT,
L9,L,38,4L9,4,L,MF,60,9,One-time,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,,8/10/2024,after Fertilization first split dose ,6,5.01,1.2,26/10/2024,after Fertilization first split dose ,18,4.91,1.2,16/10/2024,First clip (before second split dose),30,5.21,1.52,11.8,,41.6,25/10/2024,Measured ph and ec only ,9,5.11,1.62,6/11/2024,Measured ph and ec only ,18,5.32,1.84,42.33,16/11/2024,third clip (before third  split dose),30,5.32,1.84,42.33,10.225,,21/11/2024,ph/ec only,6,5.74,1.89,8/12/2024,ph/ec only,18,5.84,1.89,16/12/2024,Harvest Day,5.84,1.89,42.33,13.93,5.05,15.69,7.09,0,6.84,827,,,
L10,L,31,4L10,4,L,UF,30,10,One-time,20/09/2024,Before Fertilization ,,,5.94,0.35,5.3,,8/10/2024,after Fertilization first split dose ,6,4.77,1.08,26/10/2024,after Fertilization first split dose ,18,4.67,1.08,16/10/2024,First clip (before second split dose),30,4.89,1.6,8.86,,44.6,25/10/2024,Measured ph and ec only ,9,4.79,1.7,6/11/2024,Measured ph and ec only ,18,4.84,1.96,45.33,16/11/2024,third clip (before third  split dose),30,4.84,1.96,45.33,13.928,,21/11/2024,ph/ec only,6,5.75,1.84,8/12/2024,ph/ec only,18,5.85,1.84,16/12/2024,Harvest Day,5.85,1.84,45.33,17.55,6.74,12.05,6.87,4,6.85,920,,,
L1,L,39,5L1,5,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,4.98,,8/10/2024,after Fertilization first split dose ,6,5.3,1.22,26/10/2024,after Fertilization first split dose ,18,5.2,1.22,16/10/2024,First clip (before second split dose),30,5.54,1.81,7.04,,42.5,25/10/2024,Measured ph and ec only ,9,5.44,1.91,6/11/2024,Measured ph and ec only ,18,5.77,1.7,32.8,16/11/2024,third clip (before third  split dose),30,5.77,1.7,32.8,8.503,,21/11/2024,ph/ec only,6,5.6,1.62,8/12/2024,ph/ec only,18,5.7,1.62,16/12/2024,Harvest Day,5.7,1.62,32.8,16.32,5.86,11.71,5.97,1,6.7,1279,,,
L2,L,41,5L2,5,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.79,0.28,4.98,,8/10/2024,after Fertilization first split dose ,6,5.23,1.32,26/10/2024,after Fertilization first split dose ,18,5.13,1.32,16/10/2024,First clip (before second split dose),30,5.2,1.74,8.22,,44.9,25/10/2024,Measured ph and ec only ,9,5.1,1.84,6/11/2024,Measured ph and ec only ,18,5.87,1.84,39.8,16/11/2024,third clip (before third  split dose),30,5.87,1.84,39.8,16.895,,21/11/2024,ph/ec only,6,5.5,1.84,8/12/2024,ph/ec only,18,5.6,1.84,16/12/2024,Harvest Day,5.6,1.84,39.8,13.87,7.71,11.11,5.37,0,6.6,1457,,,
L3,L,42,5L3,5,L,UF,20,3,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,5.5,,8/10/2024,after Fertilization first split dose ,6,5.13,1.23,26/10/2024,after Fertilization first split dose ,18,5.03,1.23,16/10/2024,First clip (before second split dose),30,5.12,1.86,11.68,,44.2,25/10/2024,Measured ph and ec only ,9,5.02,1.96,6/11/2024,Measured ph and ec only ,18,5.8,1.44,41,16/11/2024,third clip (before third  split dose),30,5.8,1.44,41,15.84,,21/11/2024,ph/ec only,6,5.3,1.84,8/12/2024,ph/ec only,18,5.4,1.84,16/12/2024,Harvest Day,5.4,1.84,41,15,6.99,14.03,6.01,5,6.4,827,,,
L4,L,43,5L4,5,L,UF,30,4,Split,20/09/2024,Before Fertilization ,,,5.64,0.31,4.98,,8/10/2024,after Fertilization first split dose ,6,5.12,1.21,26/10/2024,after Fertilization first split dose ,18,5.02,1.21,16/10/2024,First clip (before second split dose),30,5.32,0.75,10.35,,45.5,25/10/2024,Measured ph and ec only ,9,5.22,0.85,6/11/2024,Measured ph and ec only ,18,5.74,1.62,47.9,16/11/2024,third clip (before third  split dose),30,5.74,1.62,47.9,14.521,,21/11/2024,ph/ec only,6,5.3,1.44,8/12/2024,ph/ec only,18,5.4,1.44,16/12/2024,Harvest Day,5.4,1.44,47.9,18.38,8.1,14.42,6.72,8,6.4,920,,,
L5,L,44,5L5,5,L,UF,40,5,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,4.79,,8/10/2024,after Fertilization first split dose ,6,5.12,1.2,26/10/2024,after Fertilization first split dose ,18,5.02,1.2,16/10/2024,First clip (before second split dose),30,4.98,0.75,7.73,,42.6,25/10/2024,Measured ph and ec only ,9,4.88,0.85,6/11/2024,Measured ph and ec only ,18,5.35,1.96,48.5,16/11/2024,third clip (before third  split dose),30,5.35,1.96,48.5,16.875,,21/11/2024,ph/ec only,6,4.8,1.84,8/12/2024,ph/ec only,18,4.9,1.84,16/12/2024,Harvest Day,4.9,1.84,48.5,19.38,7.74,12.51,6.49,1,5.9,1679,,,
L6,L,45,5L6,5,L,UF,50,6,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,5.3,,8/10/2024,after Fertilization first split dose ,6,5.02,1.08,26/10/2024,after Fertilization first split dose ,18,4.92,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.63,4.32,,41.5,25/10/2024,Measured ph and ec only ,9,4.88,1.73,6/11/2024,Measured ph and ec only ,18,5.26,1.44,45.4,16/11/2024,third clip (before third  split dose),30,5.26,1.44,45.4,14.77,,21/11/2024,ph/ec only,6,4.7,1.7,8/12/2024,ph/ec only,18,4.8,1.7,16/12/2024,Harvest Day,4.8,1.7,45.4,10.54,5.89,17.69,7.41,1,5.8,731,,,
L7,L,46,5L7,5,L,UF,60,7,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,5.5,,8/10/2024,after Fertilization first split dose ,6,5.11,1.2,26/10/2024,after Fertilization first split dose ,18,5.01,1.2,16/10/2024,First clip (before second split dose),30,4.89,1.66,10.26,,46.7,25/10/2024,Measured ph and ec only ,9,4.79,1.76,6/11/2024,Measured ph and ec only ,18,5.59,1.7,38.1,16/11/2024,third clip (before third  split dose),30,5.59,1.7,38.1,15.543,,21/11/2024,ph/ec only,6,4.6,1.62,8/12/2024,ph/ec only,18,4.7,1.62,16/12/2024,Harvest Day,4.7,1.62,38.1,17.38,8.06,14.2,6.41,4,5.7,1025,,,
L8,L,47,5L8,5,L,MF,30,8,One-time,20/09/2024,Before Fertilization ,,,5.94,0.25,5.3,,8/10/2024,after Fertilization first split dose ,6,5.01,1.3,26/10/2024,after Fertilization first split dose ,18,4.91,1.3,16/10/2024,First clip (before second split dose),30,5.02,1.79,4.83,,43.7,25/10/2024,Measured ph and ec only ,9,4.92,1.89,6/11/2024,Measured ph and ec only ,18,5.62,1.62,38.5,16/11/2024,third clip (before third  split dose),30,5.62,1.62,38.5,10.616,,21/11/2024,ph/ec only,6,5.3,1.44,8/12/2024,ph/ec only,18,5.4,1.44,16/12/2024,Harvest Day,5.4,1.44,38.5,13.71,6.513,11.79,5.7,0,6.4,2191,,,
L11,L,40,5L11,5,L,UF,60,11,One-time,20/09/2024,Before Fertilization ,,,5.54,0.34,5.66,,8/10/2024,after Fertilization first split dose ,6,4.6,1.21,26/10/2024,after Fertilization first split dose ,18,4.5,1.21,16/10/2024,First clip (before second split dose),30,4.55,1.86,6,,45.8,25/10/2024,Measured ph and ec only ,9,4.45,1.96,6/11/2024,Measured ph and ec only ,18,5.29,1.84,50,16/11/2024,third clip (before third  split dose),30,5.29,1.84,50,12.173,,21/11/2024,ph/ec only,6,5.3,1.7,8/12/2024,ph/ec only,18,5.4,1.7,16/12/2024,Harvest Day,5.4,1.7,50,14.74,6.7,10.83,5.9,0,6.4,1279,,,
