S.No,Pot ID,Plant_type,Block,Block ,Plant,Treatment,Combined pot id,Fertilizer_type ,Dose_(N kg/ha),Application_method,Date,Action_Item,Days after sowing,Plant_height(cm),Stem_count(No.),pH_1,EC_1,Fresh_Biomass (gm)_35days,Dry_Biomass (gm)_35days,Date,Action_Item,Days after first Dose,pH_2 ,EC_2,Date,Action_Item,Days after first dose,pH_3,EC_3,Date,Action_Item,Days after first Dose,pH_4,EC_4,CholorophyllContent_66days,Fresh_Biomass(gm)_66days,Dry_Biomass(gm)_66days,Date,Action_Item,Days after second dose,pH_5,EC_5,Date,Action_Item,pH_6,EC_6,Date,Action_Item,pH_7,EC_7,CholorophyllContent_95days,Fresh_Biomass (gm)_95days,Dry_Biomass (gm)_95days,Date,Action_Item,Days after third  dose,pH_8,EC_8,Date,Action_Item,Days after third  dose,pH_9,EC_9,Date,Action_Item,Days after third  dose,ph_10,EC_10,CholorophyllContent_125daysHD,Fresh_shoot_  Biomass(g)_125daysHD ,Dry_shoot_  Biomass(g)_125daysHD ,Fresh_root_biomass(g)_125daysHD,Dry_root_biomass(g)_125daysHD,Lechates_Ph_125daysHD,Lechates_EC_125daysHD(Us/cm),Notes
37,P9,P,4,4,P,9,4P9,MF,120,One-time,3/09/2024,Before Fertilization ,35,34,2,6.24,0.31,5.744,3.79,8/09/2024,Measure ec and ph,5,4.72,0.27,20/09/2024,Measure ec and ph,18,4.82,0.27,3/10/2024,Second clip (before second split dose),30,4.92,0.212,40.4,11.6167,4.62,15/10/2024,Measured ph and ec only ,,4.82,0.312,25/10/2024,Measured ph and ec only ,4.7,1.67,3/11/2024,third clip before third dose,4.6,1.87,41.75,11.58,5.14,9/11/2024,Measured ph and ec only ,6,4.82,0.312,25/11/2024,Measured ph and ec only ,18,4.7,1.67,4/12/2024,Harvest Day,30,5.3,2.23,29.8,18.51,7.48,26.78,17.18,5.9,1679,
38,P10,P,4,4,P,10,4P10,UF,60,One-time,3/09/2024,Before Fertilization ,35,29,2,6.31,0.25,6.7,3.8,8/09/2024,Measure ec and ph,5,4.81,0.211,20/09/2024,Measure ec and ph,18,4.91,0.211,3/10/2024,Second clip (before second split dose),30,5.01,0.211,43.4,16.2023,5.25,15/10/2024,Measured ph and ec only ,,4.91,0.311,25/10/2024,Measured ph and ec only ,4.79,1.75,3/11/2024,third clip before third dose,4.69,1.86,44.75,19.64,6.53,9/11/2024,Measured ph and ec only ,6,4.91,0.311,25/11/2024,Measured ph and ec only ,18,4.79,1.75,4/12/2024,Harvest Day,30,5.35,2.61,29.9,20.77,7.94,20.25,14.08,5.95,1457,
39,P1,P,5,5,P,1,5P1,Control,0,Split,3/09/2024,Before Fertilization ,35,29,2,6.21,0.32,6.7,3.79,8/09/2024,Measure ec and ph,5,5.05,0.21,20/09/2024,Measure ec and ph,18,5.15,0.21,3/10/2024,Second clip (before second split dose),30,5.25,0.211,34.2,8.5135,4.35,15/10/2024,Measured ph and ec only ,,5.15,0.311,25/10/2024,Measured ph and ec only ,5.03,1.96,3/11/2024,third clip before third dose,4.93,1.78,35.55,11,4.99,9/11/2024,Measured ph and ec only ,6,5.15,0.311,25/11/2024,Measured ph and ec only ,18,5.03,1.96,4/12/2024,Harvest Day,30,5.75,2.17,28.8,17.58,7.74,28.66,11.27,6.35,827,
40,P2,P,5,5,P,2,5P2,UF,20,Split,3/09/2024,Before Fertilization ,35,27,2,6.25,0.28,5.98,3.89,8/09/2024,Measure ec and ph,5,4.73,0.231,20/09/2024,Measure ec and ph,18,4.83,0.231,3/10/2024,Second clip (before second split dose),30,4.93,0.25,39.8,11.5021,4.9,15/10/2024,Measured ph and ec only ,,4.83,0.35,25/10/2024,Measured ph and ec only ,4.71,1.89,3/11/2024,third clip before third dose,4.61,1.92,41.15,9.6,4.8,9/11/2024,Measured ph and ec only ,6,4.83,0.35,25/11/2024,Measured ph and ec only ,18,4.71,1.89,4/12/2024,Harvest Day,30,5.61,1.95,34.4,18.57,8.7,25.6,18.08,6.21,731,
41,P3,P,5,5,P,3,5P3,UF,40,Split,3/09/2024,Before Fertilization ,35,30,2,6.34,0.29,6.41,3.77,8/09/2024,Measure ec and ph,5,4.67,0.22,20/09/2024,Measure ec and ph,18,4.77,0.22,3/10/2024,Second clip (before second split dose),30,4.87,0.231,32.5,15.9443,5.29,15/10/2024,Measured ph and ec only ,,4.77,0.331,25/10/2024,Measured ph and ec only ,4.65,2.01,3/11/2024,third clip before third dose,4.55,1.87,33.85,17.66,6.45,9/11/2024,Measured ph and ec only ,6,4.77,0.331,25/11/2024,Measured ph and ec only ,18,4.65,2.01,4/12/2024,Harvest Day,30,5.3,1.84,22.5,27.87,9.2,21.6,19.7,5.9,2191,
42,P4,P,5,5,P,4,5P4,UF,60,Split,3/09/2024,Before Fertilization ,35,32,2,6.35,0.31,6.98,3.7,8/09/2024,Measure ec and ph,5,4.6,0.212,20/09/2024,Measure ec and ph,18,4.7,0.212,3/10/2024,Second clip (before second split dose),30,4.8,0.22,36.5,14.883,5.15,15/10/2024,Measured ph and ec only ,,4.7,0.32,25/10/2024,Measured ph and ec only ,4.58,0.9,3/11/2024,third clip before third dose,4.48,1.76,37.85,19.42,6.35,9/11/2024,Measured ph and ec only ,6,4.7,0.32,25/11/2024,Measured ph and ec only ,18,4.58,0.9,4/12/2024,Harvest Day,30,5.1,1.85,30.6,30.22,10.57,45.32,19.16,5.7,1279,
43,P5,P,5,5,P,5,5P5,UF,80,Split,3/09/2024,Before Fertilization ,35,33,2,6.4,0.35,5.98,3.84,8/09/2024,Measure ec and ph,5,4.7,0.22,20/09/2024,Measure ec and ph,18,4.8,0.22,3/10/2024,Second clip (before second split dose),30,4.9,0.192,40.7,10.6408,4.84,15/10/2024,Measured ph and ec only ,,4.8,0.292,25/10/2024,Measured ph and ec only ,4.68,0.9,3/11/2024,third clip before third dose,4.58,1.87,42.05,18.48,5.79,9/11/2024,Measured ph and ec only ,6,4.8,0.292,25/11/2024,Measured ph and ec only ,18,4.68,0.9,4/12/2024,Harvest Day,30,5.46,2.39,28.5,33.92,10.63,61.04,13.14,6.06,1025,
44,P6,P,5,5,P,6,5P6,UF,100,Split,3/09/2024,Before Fertilization ,35,36,2,6.24,0.31,5.717,3.9,8/09/2024,Measure ec and ph,5,4.82,0.212,20/09/2024,Measure ec and ph,18,4.92,0.212,3/10/2024,Second clip (before second split dose),30,5.02,0.213,29.5,15.879,5.13,15/10/2024,Measured ph and ec only ,,4.92,0.313,25/10/2024,Measured ph and ec only ,4.8,1.78,3/11/2024,third clip before third dose,4.7,2.39,30.85,24.54,6.76,9/11/2024,Measured ph and ec only ,6,4.92,0.313,25/11/2024,Measured ph and ec only ,18,4.8,1.78,4/12/2024,Harvest Day,30,5,1.81,30.2,26.1,9.9,42.65,18.12,5.6,1679,
45,P7,P,5,5,P,7,5P7,UF,120,Split,3/09/2024,Before Fertilization ,35,30,2,6.28,0.32,6.32,3.8,8/09/2024,Measure ec and ph,5,4.84,0.213,20/09/2024,Measure ec and ph,18,4.94,0.213,3/10/2024,Second clip (before second split dose),30,5.04,0.212,27.6,18.775,5.22,15/10/2024,Measured ph and ec only ,,4.94,0.312,25/10/2024,Measured ph and ec only ,4.82,1.81,3/11/2024,third clip before third dose,4.72,1.98,28.95,23.7,6.92,9/11/2024,Measured ph and ec only ,6,4.94,0.312,25/11/2024,Measured ph and ec only ,18,4.82,1.81,4/12/2024,Harvest Day,30,4.9,1.84,36.3,28.8,11.25,43.87,26.86,5.5,1279,
46,P8,P,5,5,P,8,5P8,MF,60,One-time,3/09/2024,Before Fertilization ,35,34,2,6.31,0.25,5.744,3.72,8/09/2024,Measure ec and ph,5,4.7,0.211,20/09/2024,Measure ec and ph,18,4.8,0.211,3/10/2024,Second clip (before second split dose),30,4.9,0.212,38.4,9.0416,4.45,15/10/2024,Measured ph and ec only ,,4.8,0.312,25/10/2024,Measured ph and ec only ,4.68,1.94,3/11/2024,third clip before third dose,4.58,1.57,39.75,8.53,4.42,9/11/2024,Measured ph and ec only ,6,4.8,0.312,25/11/2024,Measured ph and ec only ,18,4.68,1.94,4/12/2024,Harvest Day,30,5.78,1.94,27.3,17.19,7.21,38.7,7.89,6.38,1457,
47,P11,P,5,5,P,11,5P11,UF,120,One-time,3/09/2024,Before Fertilization ,35,21,2,6.2,0.34,6.33,3.74,8/09/2024,Measure ec and ph,5,4.5,0.192,20/09/2024,Measure ec and ph,18,4.6,0.192,3/10/2024,Second clip (before second split dose),30,4.7,0.21,41,12.4093,4.89,15/10/2024,Measured ph and ec only ,,4.6,0.31,25/10/2024,Measured ph and ec only ,4.48,2.01,3/11/2024,third clip before third dose,4.38,1.9,42.35,27.33,6.78,9/11/2024,Measured ph and ec only ,6,4.6,0.31,25/11/2024,Measured ph and ec only ,18,4.48,2.01,4/12/2024,Harvest Day,30,5.52,2.01,29.6,27.94,9.43,23.31,11.22,6.12,920,
